UNH ID #,Sample Name,DateTime,NPOC (mg C/L),TDN (mg N/L),Cl (mg Cl/L),NO3 (mg N/L),SO4 (mg S/L),Abs254,SUVA,Na (mg Na/L),K (mg K/L),Mg (mg Mg/L),Ca (mg Ca/L),Closed Cell pH,TSS (mg/L),NH4 (ug N/L),DON mg/L,PO4 (ug P/L),CO2ppm,Chla_Conc
147473,DCF03,9/6/2016 13:30,,,,,,,,,,,,,,,,,,
147599,LMP72,9/13/2016 10:23,4.35,0.31,43.01,0.04,1.51,0.13,3.10,27.48,2.34,2.93,15.64,7.05,1.56,44.02,0.23,5.04,2081.72,
147600,WHB01,9/13/2016 10:46,1.15,1.22,40.67,,3.20,0.04,3.23,24.84,1.39,6.57,21.33,7.54,,8.14,0.26,7.63,1386.65,
147613,DCF03,9/13/2016 13:50,,,,,,,,,,,,,,2.50,,,,
147689,LMP72,9/20/2016 9:18,3.81,0.34,41.83,0.09,1.64,0.13,3.51,25.77,1.89,2.20,9.63,7.22,1.56,41.59,0.21,17.49,1500.79,
147690,WHB01,9/20/2016 10:38,4.12,0.82,52.17,0.61,23.79,0.12,2.90,,,,,7.54,,12.06,0.20,9.60,1143.16,
147691,DCF03,9/20/2016 11:25,6.81,0.33,7.45,0.07,3.39,0.26,3.86,6.93,0.83,1.19,4.52,6.69,,2.50,0.26,12.38,1686.21,
147698,BEF,9/21/2016 10:00,1.00,0.09,0.60,0.03,0.69,0.03,2.59,2.09,0.68,0.33,3.36,6.14,,19.60,0.05,,,
147712,HBF,9/21/2016 15:00,1.96,0.14,0.80,0.01,1.35,0.05,2.79,2.49,0.20,0.48,1.42,6.53,,2.50,0.12,,828.21,
147713,HBF Air,9/21/2016 15:00,,,,,,,,,,,,,,,,,,
147875,LMP72,9/27/2016 10:27,1.79,0.77,,0.02,1.58,0.13,7.35,28.00,2.28,2.63,12.12,7.01,0.79,70.72,0.68,2.00,2709.55,
147876,WHB01,9/27/2016 11:45,1.66,1.01,53.91,0.99,5.06,0.06,3.34,33.89,1.67,7.22,18.87,7.58,,11.98,0.01,2.00,1265.83,
147877,DCF03,9/27/2016 12:47,5.08,0.33,11.28,0.12,1.60,0.18,3.54,8.61,0.90,1.10,3.86,6.66,,2.50,0.21,6.48,1722.61,
147923,TPB,9/29/2016 13:00,1.96,0.11,1.66,0.02,0.74,0.15,7.75,1.81,0.46,0.37,1.30,6.25,,12.82,0.08,,1447.78,
147924,TPB Air,9/29/2016 13:00,,,,,,,,,,,,,,,,,,
147930,LMP72,10/3/2016 9:24,3.53,0.33,48.75,0.08,1.88,0.12,3.40,29.67,2.35,2.67,11.31,7.04,2.00,36.05,0.21,2.00,,
147931,WHB01,10/3/2016 10:16,0.97,1.20,52.93,1.06,4.80,0.04,4.39,32.34,1.52,7.90,13.75,7.39,,5.72,0.14,2.00,1169.38,
147932,DCF03,10/3/2016 10:49,4.85,0.29,7.64,0.07,1.29,0.18,3.71,6.45,0.69,0.92,3.31,6.76,,2.50,0.22,6.95,,
147935,GOF,10/5/2016 12:15,2.45,0.46,29.34,0.33,1.66,0.06,2.25,,,,,6.99,,51.52,0.08,29.81,,
148050,LMP72,10/11/2016 10:42,3.91,0.27,,,,0.12,2.99,,,,,7.00,,25.02,,13.69,2148.08,
148051,WHB01,10/11/2016 11:07,3.23,1.00,54.74,0.91,21.82,0.08,2.55,,,,,7.50,,7.37,0.08,6.68,1097.29,
148064,DCF03,10/11/2016 14:30,5.91,0.20,7.46,0.02,1.91,0.21,3.55,6.45,0.84,1.15,4.22,6.64,,2.50,0.18,10.86,1590.56,
148330,LMP72,10/18/2016 9:57,4.66,0.26,42.66,0.05,1.97,0.13,2.78,,,,,6.96,0.00,14.25,0.19,2.00,2127.65,
148331,WHB01,10/18/2016 10:58,1.80,0.94,44.63,0.83,4.62,0.05,2.65,,,,,7.46,,2.50,0.10,6.19,2382.06,
148332,DCF03,10/18/2016 11:29,6.16,0.19,5.91,0.01,0.84,0.21,3.33,5.11,0.78,0.89,3.30,6.53,,2.50,0.18,8.06,2431.41,
148508,LMP72,10/25/2016 9:26,8.88,0.51,47.84,0.26,4.62,0.25,2.84,,,,,,,15.26,0.23,7.85,2793.46,
148509,WHB01,10/25/2016 10:28,5.84,0.71,,,,0.14,2.36,,,,,,,6.93,,12.92,2883.32,
148510,DCF03,10/25/2016 11:15,9.84,0.30,11.05,0.00,2.51,0.36,3.69,7.45,1.14,1.22,4.44,,,2.50,0.29,7.45,1643.67,
148549,LMP72,11/1/2016 10:16,7.55,0.29,31.30,0.06,3.89,0.29,3.88,,,,,6.68,4.21,8.51,0.22,6.17,1587.62,
148550,WHB01,11/1/2016 11:33,5.02,0.56,54.12,0.42,22.08,0.28,5.51,,,,,7.20,,6.55,0.14,,1665.56,
148551,DCF03,11/1/2016 12:15,9.35,0.31,10.62,0.01,3.09,0.33,3.51,7.25,0.90,1.31,4.65,6.30,,2.50,0.31,5.57,1465.86,
148554,HBF,11/2/2016 15:15,2.87,0.09,1.56,0.00,0.96,0.09,3.14,1.78,0.30,0.27,0.96,6.12,,9.60,0.08,6.05,754.30,
148555,HBF_Air,11/2/2016 15:15,,,,,,,,,,,,,,,,,,
148556,BEF,11/4/2016 12:45,3.51,0.12,1.40,0.04,0.59,0.11,3.10,1.73,0.47,0.20,1.88,6.68,,2.50,0.09,2.00,,
148566,LMP72,11/8/2016 10:22,6.86,0.29,22.17,0.08,3.43,0.23,3.38,16.17,1.57,1.56,8.43,6.74,1.18,12.28,0.20,4.84,1575.61,
148567,WHB01,11/8/2016 10:41,4.05,0.58,59.69,0.43,,0.12,2.94,37.08,1.63,10.91,34.99,7.26,,7.89,0.14,6.84,1927.60,
148580,DCF03,11/8/2016 13:57,8.31,0.32,10.81,0.01,2.57,0.31,3.68,7.27,0.85,1.19,4.29,6.35,,2.50,0.31,11.99,1332.95,
148766,LMP72,11/15/2016 10:46,7.29,0.58,26.34,0.11,3.10,0.19,2.58,,,,,6.80,3.91,27.86,0.44,17.76,1505.90,
148767,WHB01,11/15/2016 11:51,3.17,0.57,64.26,0.34,16.44,0.09,2.73,,,,,7.15,,5.86,0.22,9.09,2821.76,
148768,DCF03,11/15/2016 12:39,8.23,0.24,8.90,0.01,2.00,0.30,3.66,6.22,0.71,1.01,3.61,6.32,,,,11.52,1507.93,
149193,TPB,11/18/2016 13:00,3.81,0.14,2.30,0.01,1.47,0.15,3.90,1.95,0.47,0.54,1.92,5.81,,13.24,0.11,6.11,,
149194,TPB Air,11/18/2016 13:00,,,,,,,,,,,,,,,,,,
149205,LMP72,11/21/2016 9:41,6.60,0.32,30.41,0.10,3.45,0.23,3.49,,,,,6.80,0.54,8.23,0.21,6.91,2203.31,
149206,WHB01,11/21/2016 10:40,4.34,0.50,59.08,0.36,16.98,,,,,,,7.30,,5.19,0.14,6.09,1795.23,
149207,DCF03,11/21/2016 11:30,8.89,0.28,9.51,0.01,2.25,0.33,3.75,6.45,0.81,1.05,3.76,6.38,,2.50,0.26,10.83,1800.09,
149269,GOF,11/23/2016 11:30,3.78,0.37,19.65,0.14,1.94,0.11,2.98,,,,,6.89,,,,16.30,,
149301,LMP72,11/29/2016 10:02,5.89,0.35,28.97,0.14,3.03,0.20,3.37,,,,,6.75,0.94,8.89,0.20,5.64,1424.86,
149302,WHB01,11/29/2016 11:22,3.49,0.59,61.67,0.45,15.33,0.10,2.95,,,,,7.37,,7.33,0.13,2.00,1569.00,
149303,DCF03,11/29/2016 13:01,8.67,0.27,8.75,0.02,1.96,0.32,3.71,5.95,0.70,0.96,3.45,6.40,,2.50,0.25,2.00,1360.44,
149354,LMP72,12/6/2016 11:31,7.63,0.33,27.73,0.09,3.16,0.30,3.88,,,,,,1.21,9.98,0.23,2.00,1177.09,
149355,WHB01,12/6/2016 12:26,4.21,0.64,59.62,0.50,11.41,0.15,3.46,,,,,,,2.50,0.14,2.00,1441.24,
149356,DCF03,12/6/2016 13:08,9.09,0.23,8.03,0.02,1.66,0.37,4.12,5.44,0.69,0.84,3.07,,,2.50,0.21,2.00,1277.90,
149424,LMP72,12/13/2016 10:59,6.00,0.34,30.33,0.13,2.93,0.22,3.66,19.45,1.33,1.94,10.46,6.81,0.62,21.10,0.18,2.00,1038.00,
149425,WHB01,12/13/2016 11:22,3.47,0.72,63.90,0.60,13.46,0.12,3.51,34.74,1.36,9.38,31.64,7.21,,2.50,0.11,4.02,1581.98,
149438,DCF03,12/13/2016 14:53,8.10,0.28,8.47,0.02,1.62,0.32,3.94,6.18,0.61,1.13,5.40,6.37,,2.50,0.27,4.96,1418.50,
149665,LMP72,12/20/2016 9:27,5.58,0.36,32.35,0.20,3.10,0.24,4.35,,,,,6.55,1.82,63.12,0.10,17.63,2353.73,
149666,WHB01,12/20/2016 10:23,4.62,0.77,63.52,0.63,9.79,0.17,3.66,,,,,7.06,,7.95,0.14,8.46,3049.27,
149667,DCF03,12/20/2016 11:21,9.25,0.27,12.27,0.03,1.83,0.38,4.13,7.68,0.90,1.10,3.98,6.10,,12.33,0.23,4.86,2497.94,
149693,LMP72,12/27/2016 10:49,6.26,0.41,34.42,0.18,3.28,0.22,3.58,,,,,,0.45,29.70,0.20,4.52,,
149694,WHB01,12/27/2016 11:55,3.89,0.78,43.45,0.56,5.97,0.13,3.32,,,,,,,7.29,0.20,9.35,1646.68,
149695,DCF03,12/27/2016 12:38,8.19,0.32,10.82,0.03,1.71,0.35,4.32,7.00,0.79,1.02,3.81,,,8.79,0.28,4.97,,
149698,BEF,12/30/2016 13:30,1.51,0.08,0.99,0.05,0.60,0.05,3.12,1.32,0.29,0.15,1.81,,,2.50,0.03,2.00,,
